Australia - Points: 20 +/-: 20/6, Wins: 6, Losses: 0, Draws: 2
Indonesia - Points: 20 +/-: 15/5, Wins: 6, Losses: 0, Draws: 2
VietNam - Points: 17 +/-: 18/9, Wins: 5, Losses: 1, Draws: 2
Malaisia - Points: 14 +/-: 10/7, Wins: 4, Losses: 2, Draws: 2
Singapore - Points: 10 +/-: 6/12, Wins: 3, Losses: 4, Draws: 1
Myanmar - Points: 8 +/-: 6/11, Wins: 2, Losses: 4, Draws: 2
ThaiLand - Points: 6 +/-: 5/10, Wins: 1, Losses: 4, Draws: 3
Philipin - Points: 2 +/-: 2/11, Wins: 0, Losses: 6, Draws: 2
Campuchia - Points: 2 +/-: 0/11, Wins: 0, Losses: 6, Draws: 2
VietNam - Points: 19 +/-: 20/8, Wins: 6, Losses: 1, Draws: 1
Indonesia - Points: 19 +/-: 17/7, Wins: 6, Losses: 1, Draws: 1
Australia - Points: 19 +/-: 16/9, Wins: 6, Losses: 1, Draws: 1
Malaisia - Points: 15 +/-: 14/10, Wins: 4, Losses: 1, Draws: 3
ThaiLand - Points: 9 +/-: 7/11, Wins: 3, Losses: 5, Draws: 0
Singapore - Points: 7 +/-: 2/6, Wins: 1, Losses: 3, Draws: 4
Philipin - Points: 6 +/-: 2/8, Wins: 1, Losses: 4, Draws: 3
Myanmar - Points: 3 +/-: 2/10, Wins: 0, Losses: 5, Draws: 3
Campuchia - Points: 2 +/-: 0/11, Wins: 0, Losses: 6, Draws: 2
VietNam - Points: 18 +/-: 19/9, Wins: 5, Losses: 0, Draws: 3
ThaiLand - Points: 18 +/-: 15/7, Wins: 5, Losses: 0, Draws: 3
Australia - Points: 13 +/-: 13/9, Wins: 3, Losses: 1, Draws: 4
Malaisia - Points: 13 +/-: 13/10, Wins: 3, Losses: 1, Draws: 4
Indonesia - Points: 8 +/-: 8/10, Wins: 1, Losses: 2, Draws: 5
Philipin - Points: 7 +/-: 4/8, Wins: 1, Losses: 3, Draws: 4
Myanmar - Points: 6 +/-: 4/9, Wins: 1, Losses: 4, Draws: 3
Campuchia - Points: 5 +/-: 1/10, Wins: 1, Losses: 5, Draws: 2
Singapore - Points: 4 +/-: 2/7, Wins: 0, Losses: 4, Draws: 4
Australia - Points: 20 +/-: 20/7, Wins: 6, Losses: 0, Draws: 2
Malaisia - Points: 17 +/-: 11/5, Wins: 5, Losses: 1, Draws: 2
ThaiLand - Points: 17 +/-: 10/6, Wins: 5, Losses: 1, Draws: 2
VietNam - Points: 14 +/-: 16/11, Wins: 4, Losses: 2, Draws: 2
Indonesia - Points: 6 +/-: 5/8, Wins: 1, Losses: 4, Draws: 3
Myanmar - Points: 6 +/-: 3/6, Wins: 1, Losses: 4, Draws: 3
Campuchia - Points: 6 +/-: 3/10, Wins: 1, Losses: 4, Draws: 3
Philipin - Points: 6 +/-: 2/9, Wins: 1, Losses: 4, Draws: 3
Singapore - Points: 5 +/-: 4/12, Wins: 1, Losses: 5, Draws: 2
Indonesia - Points: 20 +/-: 16/4, Wins: 6, Losses: 0, Draws: 2
Australia - Points: 17 +/-: 18/8, Wins: 5, Losses: 1, Draws: 2
Malaisia - Points: 17 +/-: 17/8, Wins: 5, Losses: 1, Draws: 2
VietNam - Points: 16 +/-: 16/10, Wins: 5, Losses: 2, Draws: 1
Singapore - Points: 9 +/-: 3/8, Wins: 2, Losses: 3, Draws: 3
Myanmar - Points: 6 +/-: 1/8, Wins: 1, Losses: 4, Draws: 3
