Champion: Australia - Points: 24 +/-: 22, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 21, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 19 +/-: 13, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 21 +/-: 16, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 20 +/-: 19, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam - Points: 19 +/-: 12, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam - Points: 18 +/-: 10, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam - Points: 20 +/-: 8, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia - Points: 21 +/-: 7, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 16, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Malaisia - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam - Points: 16 +/-: 7, Wins: 5, Losses: 2, Draws: 1
Champion: Australia - Points: 22 +/-: 8, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 16 +/-: 2, Wins: 5, Losses: 2, Draws: 1
Champion: VietNam - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 17 +/-: 8, Wins: 5, Losses: 1, Draws: 2
Champion: Australia - Points: 24 +/-: 16, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 16 +/-: 9, Wins: 5, Losses: 2, Draws: 1
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam - Points: 24 +/-: 17, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 24 +/-: 11, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 22 +/-: 10, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia - Points: 18 +/-: 6, Wins: 5, Losses: 0, Draws: 3
Champion: VietNam - Points: 24 +/-: 15, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 21 +/-: 10, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam - Points: 24 +/-: 12, Wins: 8, Losses: 0, Draws: 0
Champion: Malaisia - Points: 18 +/-: 6, Wins: 6, Losses: 2, Draws: 0
Champion: VietNam - Points: 16 +/-: 8, Wins: 4, Losses: 0, Draws: 4
Champion: VietNam - Points: 20 +/-: 7, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam - Points: 18 +/-: 7, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 18 +/-: 10, Wins: 5, Losses: 0, Draws: 3
Champion: VietNam - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 21 +/-: 11, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam - Points: 24 +/-: 12, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
